FK_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Child_Table_Name,Referred_Table_Name,Engineer,Delete_Rule,Child_Table_ID,Num_Child_Table_ID,Referred_Table_ID,Num_Referred_Table_ID,Referred_Key_ID,Num_Referred_Key_ID,Number_Of_Columns
ASST_PL_CLLTRL_RCVD_ASSGNMNT_ASST_PL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,F1D12474-0FC3-C765-3BF6-E9F8B04BA668,2263,,ASST_PL_CLLTRL_RCVD_ASSGNMNT,ASST_PL,Y,NO ACTION,D7270068-8370-6D44-709B-2EA4C6CBA0CE,566,B423DC7A-7970-91EF-DC42-9ADB4DA63ED0,565,018D7D49-63BE-F4FC-21E5-8245B525D633,2099,5
ASST_PL_CLLTRL_RCVD_ASSGNMNT_CLLTRL_RL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,78CA2083-2D0C-E4AF-1553-7F6C03678A6A,2264,,ASST_PL_CLLTRL_RCVD_ASSGNMNT,CLLTRL_RL,Y,NO ACTION,D7270068-8370-6D44-709B-2EA4C6CBA0CE,566,E247413D-584F-677C-707B-58FC31C848E5,574,954DFB29-AE5B-E322-D80F-DA21E57A162E,2125,6
ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT_ASST_PL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,9761CCC4-30DC-9300-7A51-F43BC8731309,2265,,ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT,ASST_PL,Y,NO ACTION,9D380929-0E77-CF7E-A401-4C1231301590,567,B423DC7A-7970-91EF-DC42-9ADB4DA63ED0,565,018D7D49-63BE-F4FC-21E5-8245B525D633,2099,5
ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT_SCRTY_PSTN_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,BF2AAD6E-C71C-9127-62D1-65FFAB2FCD6B,2266,,ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT,SCRTY_PSTN,Y,NO ACTION,9D380929-0E77-CF7E-A401-4C1231301590,567,8619528A-07F6-36EB-3BE2-191CF05F202A,659,AAD8505A-343E-A040-DDF7-37F33B38F63D,2181,7
ASST_PL_EXCHNG_TRDBL_DRVTV_PSTN_ASSGNMNT_ASST_PL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,F655DA88-F3EA-0450-71BC-80DBD89FCB82,2267,,ASST_PL_EXCHNG_TRDBL_DRVTV_PSTN_ASSGNMNT,ASST_PL,Y,NO ACTION,0AF20710-CBF3-379E-6D95-FCACD2463C0F,568,B423DC7A-7970-91EF-DC42-9ADB4DA63ED0,565,018D7D49-63BE-F4FC-21E5-8245B525D633,2099,5
ASST_PL_EXCHNG_TRDBL_DRVTV_PSTN_ASSGNMNT_EXCHNG_TRDBL_DRVTV_PSTN_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,6AF468AF-6DFC-D590-35AA-17284D46FAA2,2268,,ASST_PL_EXCHNG_TRDBL_DRVTV_PSTN_ASSGNMNT,EXCHNG_TRDBL_DRVTV_PSTN,Y,NO ACTION,0AF20710-CBF3-379E-6D95-FCACD2463C0F,568,C408A92F-CBC8-04F7-BC6E-16A5D006E0C1,592,A817D6FA-9C03-3477-5DA3-41FDA50E3806,2108,9
ASST_PL_INSTRMNT_ASSGNMNT_ASST_PL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,BD83818A-A6E0-3110-F938-F6EE07E30321,2269,,ASST_PL_INSTRMNT_ASSGNMNT,ASST_PL,Y,NO ACTION,4D74F0BD-05A3-3393-D5D2-703548321143,569,B423DC7A-7970-91EF-DC42-9ADB4DA63ED0,565,018D7D49-63BE-F4FC-21E5-8245B525D633,2099,5
ASST_PL_INSTRMNT_ASSGNMNT_INSTRMNT_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,EA20DAA3-ACFD-304A-CA08-007853F6833B,2270,,ASST_PL_INSTRMNT_ASSGNMNT,INSTRMNT,Y,NO ACTION,4D74F0BD-05A3-3393-D5D2-703548321143,569,9FFDCF42-F484-F5FA-5403-D176EB55118A,605,37C8ADE0-0708-3243-9B16-54A6BB12D469,2082,5
CLLTRL_GVN_INSTRMNT_DBT_SCRTY_ISSD_ASSGNMNT_DBT_SCRTY_ISSD_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,A675B587-39A5-C96F-8841-521B5FE93292,2271,,CLLTRL_GVN_INSTRMNT_DBT_SCRTY_ISSD_ASSGNMNT,DBT_SCRTY_ISSD,Y,NO ACTION,60E9F53A-E36A-F7CD-37EB-CD414A6D2F00,572,5CAF5168-7FA3-2AB6-F14E-E42C481A7DD7,585,5DF07FB6-B0D1-7B17-F2AC-A9E2F35E6970,2040,6
CLLTRL_GVN_INSTRMNT_DBT_SCRTY_ISSD_ASSGNMNT_INSTRMNT_RL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,3CA7BD92-496B-746A-CCE7-445F8399B853,2272,,CLLTRL_GVN_INSTRMNT_DBT_SCRTY_ISSD_ASSGNMNT,INSTRMNT_RL,Y,NO ACTION,60E9F53A-E36A-F7CD-37EB-CD414A6D2F00,572,E88DD6DA-5A0B-DE9C-491D-EC2A3C31B3BD,612,E5D9B8E3-BAAF-FBED-DB95-D39D271D1283,2132,6
CLLTRL_NN_FNNCL_ASST_ASSGNMNT_CLLTRL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,29B842D1-FB01-1AF6-9820-722717911CA3,2273,,CLLTRL_NN_FNNCL_ASST_ASSGNMNT,CLLTRL,Y,NO ACTION,74FBBB3E-C4F2-C6D7-9320-38BA60BDDA13,573,06BFC509-4E80-09A5-EFAA-FD6897DE3250,571,183AB5EE-44D9-ABD5-DF16-F2825681BFE4,2001,5
CLLTRL_NN_FNNCL_ASST_ASSGNMNT_NN_FNNCL_ASST_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,C32B3269-9E20-69BB-0A92-F76B850DAAB5,2274,,CLLTRL_NN_FNNCL_ASST_ASSGNMNT,NN_FNNCL_ASST,Y,NO ACTION,74FBBB3E-C4F2-C6D7-9320-38BA60BDDA13,573,D5754FEB-EAC2-EB1F-433C-05F4B054574B,629,DA25CC18-588B-6D57-AC64-3DD9BBF4B7DE,2224,11
CLLTRL_PRTCTN_ARRNGMNT_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,7644C3DD-2796-9C10-BE22-A00ECDABD614,2275,,CLLTRL,PRTCTN_ARRNGMNT,Y,NO ACTION,06BFC509-4E80-09A5-EFAA-FD6897DE3250,571,81F4EAAD-45F2-5B39-BCA2-13F6749ABB59,635,CC14BDDE-FF50-DCE6-6AD7-6B84973F8337,2178,5
CLLTRL_RL_CLLTRL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,88BE3432-1711-CBDB-89DB-B3966400DD2C,2276,,CLLTRL_RL,CLLTRL,Y,NO ACTION,E247413D-584F-677C-707B-58FC31C848E5,574,06BFC509-4E80-09A5-EFAA-FD6897DE3250,571,183AB5EE-44D9-ABD5-DF16-F2825681BFE4,2001,5
CLLTRL_SCRTY_EXCHNG_TRDBL_DRVTV_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,61F16F30-3097-DC80-88A1-69983C5238DC,2277,,CLLTRL,SCRTY_EXCHNG_TRDBL_DRVTV,Y,NO ACTION,06BFC509-4E80-09A5-EFAA-FD6897DE3250,571,C8FC06AA-6E30-0B5D-7332-5C5604A82D7C,656,D7C1675A-5DDD-50CB-CCF7-0BA20B0322B4,2217,5
CRDT_FCLTY_CLLTRL_ASSGNMNT_CLLTRL_RL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,C8357443-4486-87F2-3791-0FA0FCB5AB2D,2278,,CRDT_FCLTY_CLLTRL_ASSGNMNT,CLLTRL_RL,Y,NO ACTION,D271ABB5-3457-7426-3D8E-A05E52FE6506,576,E247413D-584F-677C-707B-58FC31C848E5,574,954DFB29-AE5B-E322-D80F-DA21E57A162E,2125,6
CRDT_FCLTY_CLLTRL_ASSGNMNT_CRDT_FCLTY_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,815786A6-C911-8845-20EF-5A5701F3B53A,2279,,CRDT_FCLTY_CLLTRL_ASSGNMNT,CRDT_FCLTY,Y,NO ACTION,D271ABB5-3457-7426-3D8E-A05E52FE6506,576,54B62A7C-199C-CC72-804E-4F8CB42AAFA6,575,A7363CFE-24B5-589A-72F4-77A413B68AF6,2038,5
CRDT_FCLTY_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_CRDT_FCLTY_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,43C398DE-25A9-6154-BBBF-8005D9F4DCCB,2280,,CRDT_FCLTY_CLLTRL_RCVD_INSTRMNT_ASSGNMNT,CRDT_FCLTY,Y,NO ACTION,95DE81BD-EBA3-1845-AF4B-371CF703D13B,577,54B62A7C-199C-CC72-804E-4F8CB42AAFA6,575,A7363CFE-24B5-589A-72F4-77A413B68AF6,2038,5
CRDT_FCLTY_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_INSTRMNT_RL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,3EB6B8DD-6F89-9C20-87D0-00122ED11D34,2281,,CRDT_FCLTY_CLLTRL_RCVD_INSTRMNT_ASSGNMNT,INSTRMNT_RL,Y,NO ACTION,95DE81BD-EBA3-1845-AF4B-371CF703D13B,577,E88DD6DA-5A0B-DE9C-491D-EC2A3C31B3BD,612,E5D9B8E3-BAAF-FBED-DB95-D39D271D1283,2132,6
CRDT_FCLTY_ENTTY_RL_ASSGNMNT_CRDT_FCLTY_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,67747050-9E3E-7890-1ED5-9D6FAF01D3C9,2282,,CRDT_FCLTY_ENTTY_RL_ASSGNMNT,CRDT_FCLTY,Y,NO ACTION,3B33FA1E-3ACF-C891-6578-8C4770AB8508,578,54B62A7C-199C-CC72-804E-4F8CB42AAFA6,575,A7363CFE-24B5-589A-72F4-77A413B68AF6,2038,5
CRDT_FCLTY_ENTTY_RL_ASSGNMNT_ENTTY_RL_FKv2,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,3F3B0BC7-0F80-C9F1-1864-A683FB5E381B,2283,,CRDT_FCLTY_ENTTY_RL_ASSGNMNT,ENTTY_RL,Y,NO ACTION,3B33FA1E-3ACF-C891-6578-8C4770AB8508,578,E8102E7C-4835-8829-AE10-1A6486B35A81,589,9F7264CB-ED41-8AA5-8993-FAC4E640EBE5,2130,6
CRDT_FCLTY_FNNCL_CNTRCT_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,8BEA629B-D3B4-9745-8192-1E9FB5E84FA5,2284,,CRDT_FCLTY,FNNCL_CNTRCT,Y,NO ACTION,54B62A7C-199C-CC72-804E-4F8CB42AAFA6,575,CB4DAD8D-9689-B6DC-B773-F1FA3703D806,598,50F05542-B766-D441-5419-2AC7BCE10D22,2115,5
CRDT_RSK_MTGTN_ASSGNMNT_CLLTRL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,FCC69547-7B6C-57C0-BCA6-11A94F38025B,2285,,CRDT_RSK_MTGTN_ASSGNMNT,CLLTRL,Y,NO ACTION,E3723A8A-82EB-7EAD-6E47-D9FE347595C2,579,06BFC509-4E80-09A5-EFAA-FD6897DE3250,571,183AB5EE-44D9-ABD5-DF16-F2825681BFE4,2001,5
CRDT_RSK_MTGTN_ASSGNMNT_PRTCTN_ARRNGMNT_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,41C5D381-5FDD-7801-7B4C-FFC819AD0770,2286,,CRDT_RSK_MTGTN_ASSGNMNT,PRTCTN_ARRNGMNT,Y,NO ACTION,E3723A8A-82EB-7EAD-6E47-D9FE347595C2,579,81F4EAAD-45F2-5B39-BCA2-13F6749ABB59,635,CC14BDDE-FF50-DCE6-6AD7-6B84973F8337,2178,5
CRDT_TRNSFR_OTHR_SCRTSTN_CVRD_BND_PRGRM_ASST_PL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,D3BB1192-A5A7-BB1E-C511-D2500BCAE126,2287,,CRDT_TRNSFR_OTHR_SCRTSTN_CVRD_BND_PRGRM,ASST_PL,Y,NO ACTION,52DAC291-01EA-53E1-39AB-4B794D4B3087,580,B423DC7A-7970-91EF-DC42-9ADB4DA63ED0,565,018D7D49-63BE-F4FC-21E5-8245B525D633,2099,5
CSH_LG_RPRCHS_AGRMNT_CMPNNT_INSTRMNT_FKv2,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,EA636958-2C12-66A5-3CDE-B8CDE9107E19,2288,,RPRCHS_AGRMNT_CMPNNT,INSTRMNT,Y,NO ACTION,FA537D71-CFED-45E4-E418-4BCCDD3A0C24,642,9FFDCF42-F484-F5FA-5403-D176EB55118A,605,37C8ADE0-0708-3243-9B16-54A6BB12D469,2082,5
CVRD_BND_ISSNC_CVRD_BND_PRGRM_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,0BD5414B-AF48-BDCC-4DA5-65CE113BB835,2289,,CVRD_BND_ISSNC,CVRD_BND_PRGRM,Y,NO ACTION,8CC7566A-5FA1-8E2C-97C6-6735CC7DDAB0,582,1070C3D2-8420-09A3-919C-7F9422474127,583,E371170A-0528-5FC0-AECB-860BE97996EA,2010,5
CVRD_BND_ISSNC_SCRTY_EXCHNG_TRDBL_DRVTV_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,4635C469-7EAD-EC22-0293-241188C1DA1E,2290,,CVRD_BND_ISSNC,SCRTY_EXCHNG_TRDBL_DRVTV,Y,NO ACTION,8CC7566A-5FA1-8E2C-97C6-6735CC7DDAB0,582,C8FC06AA-6E30-0B5D-7332-5C5604A82D7C,656,D7C1675A-5DDD-50CB-CCF7-0BA20B0322B4,2217,5
CVRD_BND_PRGRM_ASST_PL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,31528437-59F8-9C85-4F4A-9BA4688D2D77,2291,,CVRD_BND_PRGRM,ASST_PL,Y,NO ACTION,1070C3D2-8420-09A3-919C-7F9422474127,583,B423DC7A-7970-91EF-DC42-9ADB4DA63ED0,565,018D7D49-63BE-F4FC-21E5-8245B525D633,2099,5
CVRD_BND_PRGRMM_RLVNT_RGM_EXCSS_CVRD_BND_PRGRM_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,28AB600B-675F-D067-FE89-2BBA6E604661,2292,,CVRD_BND_PRGRMM_RLVNT_RGM_EXCSS,CVRD_BND_PRGRM,Y,NO ACTION,2AD54755-E3D9-2DC8-B603-3343419FD1BD,584,1070C3D2-8420-09A3-919C-7F9422474127,583,E371170A-0528-5FC0-AECB-860BE97996EA,2010,5
DBT_SCRTY_ISSD_HDG_DBT_SCRTY_ISSD_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,C7B22D93-D72C-072F-6C9B-5E18B06A33A6,2293,,DBT_SCRTY_ISSD_HDG,DBT_SCRTY_ISSD,Y,NO ACTION,DCF7D13B-0746-55D0-41E8-A64F31F131BF,586,5CAF5168-7FA3-2AB6-F14E-E42C481A7DD7,585,5DF07FB6-B0D1-7B17-F2AC-A9E2F35E6970,2040,6
DBT_SCRTY_ISSD_PRTCN_ARRNGMNT_GVN_ASSGNMNT_DBT_SCRTY_ISSD_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,74869760-15EA-1CBE-733D-BD94E589D6D2,2294,,DBT_SCRTY_ISSD_PRTCN_ARRNGMNT_GVN_ASSGNMNT,DBT_SCRTY_ISSD,Y,NO ACTION,193F9429-D16C-573B-C98F-E9EEE0827427,587,5CAF5168-7FA3-2AB6-F14E-E42C481A7DD7,585,5DF07FB6-B0D1-7B17-F2AC-A9E2F35E6970,2040,6
DBT_SCRTY_ISSD_PRTCN_ARRNGMNT_GVN_ASSGNMNT_PRTCTN_ARRNGMNT_RL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,4C46F5D1-0871-F737-F5CE-A335B732C2D2,2295,,DBT_SCRTY_ISSD_PRTCN_ARRNGMNT_GVN_ASSGNMNT,PRTCTN_ARRNGMNT_RL,Y,NO ACTION,193F9429-D16C-573B-C98F-E9EEE0827427,587,B3F10908-F1A5-EC74-448B-1C717C7FF71E,636,4056587C-9E9C-12A8-3A2D-C1E5815F4587,2205,6
DBT_SCRTY_ISSD_SCRTY_EXCHNG_TRDBL_DRVTV_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,7D2092C3-606C-FDB6-F2BB-1C7ECBE199B0,2296,,DBT_SCRTY_ISSD,SCRTY_EXCHNG_TRDBL_DRVTV,Y,NO ACTION,5CAF5168-7FA3-2AB6-F14E-E42C481A7DD7,585,C8FC06AA-6E30-0B5D-7332-5C5604A82D7C,656,D7C1675A-5DDD-50CB-CCF7-0BA20B0322B4,2217,5
DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT_DBT_SCRTY_ISSD_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,9988D013-5097-5210-FC32-1005B282081E,2297,,DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT,DBT_SCRTY_ISSD,Y,NO ACTION,0DEC9E62-0B06-F43E-A20D-650E3B1E9C4C,588,5CAF5168-7FA3-2AB6-F14E-E42C481A7DD7,585,5DF07FB6-B0D1-7B17-F2AC-A9E2F35E6970,2040,6
DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT_TRDTNL_SCRTSTN_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,035B07A4-E91B-8021-E69D-A172157C7CFE,2298,,DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT,TRDTNL_SCRTSTN,Y,NO ACTION,0DEC9E62-0B06-F43E-A20D-650E3B1E9C4C,588,D267E310-F398-8C2B-D5FE-C2014AC1E8A0,667,61C7E559-E9D6-9AD8-6303-A63D45DCAD94,2258,5
ENTTY_RL_PRTY_FKv4,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,DCB00479-3EE5-CD5C-F0DA-FA6F0A9D28EF,2299,,ENTTY_RL,PRTY,Y,NO ACTION,E8102E7C-4835-8829-AE10-1A6486B35A81,589,98FCF9F5-E183-3A22-367F-9306F2685389,639,8255CDD0-CDF7-97BC-C4E9-16989954A01D,2201,5
EQT_INSTRMNT_NT_SCRT_HDG_INSTRMNT_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,1AB9C653-5C5F-D045-952A-4238DAE54CCB,2300,,EQT_INSTRMNT_NT_SCRT_HDG,INSTRMNT,Y,NO ACTION,4479254A-F6E7-5363-038F-33CD6C83D3DB,590,9FFDCF42-F484-F5FA-5403-D176EB55118A,605,37C8ADE0-0708-3243-9B16-54A6BB12D469,2082,5
ETD_LBLTY_PSTN_SNTHTC_SCRTSTN_ASSGNMNT_EXCHNG_TRDBL_DRVTV_PSTN_RL_FK,AD51085A-89B5-9B80-E7E5-D958DCB6DFDD,564,F606A35B-E0A5-7058-18F8-468729B78E79,2301,,ETD_LBLTY_PSTN_SNTHTC_SCRTSTN_ASSGNMNT,EXCHNG_TRDBL_DRVTV_PSTN_RL,Y,NO ACTION,609CC011-AFD2-124D-961F-2EF0D1CAF9E5,591,5DE742F6-2AED-4A08-A3CD-D745C4103F63,594,9CEBE6FF-7267-315C-BB64-9873A704C2CC,2045,10
